id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45300663,5Subway take you to Manhattan Good room,19303369,Hiroki,Queens,Woodside,40.74125,-73.89591,Private room,29,30,2,2022-12-27,0.07,207,27,1,
45075405,Sunny place in a beautiful Landmark Townhouse!,154116030,Rosa,Manhattan,East Village,40.73046,-73.98915,Entire home/apt,300,5,38,2023-01-03,1.69,1,81,19,
45075497,Charming and chic tree-lined Carroll Gardens apt,62773733,Meredith,Brooklyn,Carroll Gardens,40.6815,-73.99842,Entire home/apt,240,7,21,2023-01-01,0.74,1,42,4,
45222805,EXC Location & Huge duplex Renovated Apt,200239515,Shogo,Queens,Woodside,40.74475,-73.90347,Private room,38,30,0,,,192,0,0,
45301291,Panoramic views of NYC in luxury. Travel or WFH!,1831089,Becky,Manhattan,Hell's Kitchen,40.75896,-73.9959,Entire home/apt,130,30,6,2022-02-08,0.21,1,77,0,
45075714,Brooklyn Brownstone Apt with Peaceful Back Deck,47539363,Paige,Brooklyn,Fort Greene,40.68828,-73.97201,Entire home/apt,160,4,6,2021-08-30,0.21,1,0,0,
45303002,Large Private Guest Suite w/ Exposed Brick,2981156,Kia,Brooklyn,Bedford-Stuyvesant,40.68025,-73.9187,Private room,81,2,10,2022-01-31,0.44,1,0,0,
45305015,Beautiful CLEAN & cozy 1 bedroom in Inwood,344320464,Cindy,Manhattan,Washington Heights,40.85939,-73.92687,Entire home/apt,118,1,92,2022-12-29,3.85,2,135,46,
45076771,"Ivoire Business Solutions,LLC3",181711840,Christophe,Bronx,Morris Heights,40.8534,-73.91028,Entire home/apt,175,2,33,2023-01-03,1.09,1,171,19,
45076897,Bright & Modern Studio in Chelsea,73670220,Maya,Manhattan,Chelsea,40.73928,-74.00099,Entire home/apt,109,30,2,2021-01-26,0.07,2,0,0,
45223171,★2minutes walk from station★,200239515,Shogo,Queens,Woodside,40.74801,-73.89851,Private room,22,30,3,2022-04-30,0.14,192,0,1,
45223844,Near the station! Easy apartment in woodside,200239515,Shogo,Queens,Woodside,40.74788,-73.89816,Private room,34,30,1,2021-02-11,0.04,192,0,0,
45224033,"Large room with Sofa, easy access to Manhattan",200239515,Shogo,Queens,Woodside,40.74132,-73.89567,Private room,34,30,1,2022-07-31,0.14,192,59,1,
45308975,The Treehouse - Williamsburg Film/Photo Studio,107381650,Katie,Brooklyn,Williamsburg,40.71278,-73.94681,Entire home/apt,600,2,20,2021-12-21,0.67,1,63,0,
45224099,Very Good Location and entire place for you,365337143,Suk,Queens,Fresh Meadows,40.75232,-73.78042,Entire home/apt,179,1,1,2020-09-10,0.03,1,0,0,
45224180,★☆Queens☆★ -Private Bathroom Apartment,200239515,Shogo,Queens,Jackson Heights,40.75304,-73.87676,Private room,34,30,0,,,192,0,0,
45235352,Easy access to Manhattan : Nice Condition room,200239515,Shogo,Queens,Jackson Heights,40.75241,-73.87856,Private room,23,30,0,,,192,0,0,
45077681,Beautiful Modern Bushwick Sublet (Morgan L),23006601,Mike,Brooklyn,Williamsburg,40.70549,-73.92834,Private room,35,30,0,,,1,0,0,
45079976,Private Bathroom Lower East Side Apartment,19303369,Hiroki,Manhattan,Lower East Side,40.71347,-73.98844,Private room,39,30,0,,,207,0,0,
45309651,Furnished Twin Bedroom C in #155: Upper East Side,305240193,June,Manhattan,Upper East Side,40.775985705755865,-73.9448567373606,Private room,87,30,0,,,222,277,0,
45235897,Guests Private Entry*Quiet Room* with WIFI/TV,363403952,Mabel,Bronx,Baychester,40.87683,-73.84297,Private room,59,1,106,2023-02-24,3.54,4,77,35,
45314941,Cozy and clean  private room,157438943,Anna,Bronx,Belmont,40.85829,-73.89265,Private room,60,2,0,,,1,0,0,
45235972,Bright room Good apartment in Jackson heights,200239515,Shogo,Queens,Jackson Heights,40.75269,-73.87799,Private room,30,30,0,,,192,56,0,
45236480,Best Harlem Location,358903800,Asaad,Manhattan,Harlem,40.80984,-73.94402,Private room,125,30,1,2020-12-31,0.04,4,0,0,
45084700,BOHO CHIC TOP-FLOOR APT! near TRENDY BEDFORD AVE!!,154949847,Emily,Brooklyn,Williamsburg,40.71155,-73.9572,Entire home/apt,108,30,6,2023-02-20,0.28,3,31,4,
45085252,Large Private Room Queens NY St. John’s University,215759678,Andrew,Queens,Jamaica Estates,40.72003,-73.79824,Private room,46,30,23,2023-01-06,0.78,12,156,13,
45314999,New location 1st FL. Brooklyn NYC / Tv & Backyard,81274648,Ming,Brooklyn,Bushwick,40.69836,-73.93113,Private room,65,3,40,2022-12-31,1.71,4,82,21,
45086065,165 East 89-Furnished Studio,51501835,Jeniffer,Manhattan,Upper East Side,40.78095,-73.95412,Entire home/apt,94,30,9,2022-11-01,0.32,131,331,3,
45236489,Kohzi Townhouse Apartment,358151054,Astrid,Bronx,Mott Haven,40.81192398071289,-73.90686798095703,Entire home/apt,116,60,21,2022-12-26,0.71,2,31,11,
45318765,Whole Apartment in a Private Townhouse (Midterm),73676875,Jonathan,Bronx,Claremont Village,40.84316,-73.90681,Entire home/apt,89,30,14,2022-12-11,0.59,2,74,7,
45086139,165 East 89-Alcove Studio in Upper East Side,51501835,Jeniffer,Manhattan,Upper East Side,40.78204,-73.95381,Entire home/apt,98,30,10,2023-01-31,0.42,131,310,4,
45319200,Contemporary Hudson River Apartment,212479990,Jenniffer,Manhattan,Harlem,40.82089,-73.95622,Entire home/apt,150,7,4,2023-01-02,0.40,1,13,4,
45326344,Park Slope Townhouse Perfection,19113611,Dave,Brooklyn,Park Slope,40.66953,-73.98072,Entire home/apt,750,30,0,,,1,226,0,
45087157,New York Home with a View,10454742,K,Manhattan,East Harlem,40.80332,-73.93369,Entire home/apt,200,3,0,,,1,0,0,
45087905,Sunny bedroom in Forest Hills-Queens,4430927,Martha,Queens,Rego Park,40.72928,-73.85262,Private room,43,60,1,2022-12-18,0.38,2,362,1,
45239940,Stay on a charming houseboat in the Rockaways!,365479070,Jessica,Queens,Arverne,40.5937,-73.78891,Entire home/apt,200,2,4,2021-08-29,0.20,1,0,0,
45326505,Newly Renovated 3 Bedroom Home,366377975,Dimitri,Brooklyn,Sheepshead Bay,40.60107,-73.94194,Entire home/apt,329,2,26,2022-10-28,1.09,1,365,9,
45089241,A+ Location Studio(APT Selected at Check-in) #1,348619646,Nomad,Manhattan,Midtown,40.74838,-73.98822,Private room,145,1,65,2022-12-21,2.18,51,3,20,
45327468,Extra large and quiet room in a creative nest,37883321,Lionel,Brooklyn,Bedford-Stuyvesant,40.68704,-73.9458,Private room,75,30,3,2022-07-31,0.11,8,79,1,
45089745,Great Access! Close to station/5line u can use!!,204704622,Momoyo,Queens,Woodside,40.74451,-73.89202,Private room,33,30,2,2022-10-01,0.10,178,51,1,
45240414,The Bronx's lovely getaway,351371283,Keke,Bronx,Eastchester,40.87811,-73.83654,Shared room,200,5,0,,,1,90,0,
45328502,5Subway Line Easy Access to Manhattan with Sofa,19303369,Hiroki,Queens,Woodside,40.7416,-73.89596,Private room,33,30,2,2023-01-31,0.32,207,28,2,
45091165,Beautiful/clean Bedroom near JFK and LGA airports,221913542,Zuleyka,Queens,Flushing,40.74486,-73.83471,Private room,63,1,77,2022-07-24,2.52,9,0,18,
45091742,Modern 4700 SF house in heart of Williamsburg,4027787,Ryan,Brooklyn,Williamsburg,40.71513,-73.96158,Entire home/apt,680,1,85,2023-02-12,2.80,1,9,33,
45331602,Huge 1900sq' Tribeca loft w/Private Garden Terrace,288972,Bono,Manhattan,Financial District,40.71112,-74.00822,Entire home/apt,200,60,0,,,1,95,0,
45091953,The coziest studio in the heart of the Village,11979072,Marina,Manhattan,Greenwich Village,40.73035,-73.99926,Entire home/apt,150,25,1,2020-12-25,0.04,1,0,0,
45335934,Beautiful 2 bedroom apartment in brooklyn.,183059897,James,Brooklyn,East New York,40.66834,-73.87616,Entire home/apt,116,3,76,2023-02-02,2.58,2,294,18,
45092503,THE LINCOLN SUITES BROOKLYN - 594,130777278,Lincoln Suites,Brooklyn,Crown Heights,40.67219,-73.95732,Entire home/apt,146,2,110,2023-02-05,4.57,3,288,57,
45240828,Spacious entire 1 bed. apartment in Upper East,365493358,Tiara,Manhattan,Upper East Side,40.76638,-73.95472,Entire home/apt,95,30,3,2020-09-20,0.10,1,0,0,
45251062,Premium Bedroom on Pelham Parkway,81959456,Jayson,Bronx,Bronxdale,40.85613,-73.8673,Private room,60,30,6,2022-01-01,0.20,2,90,0,
45340304,"FiDi 2BR w/ Gym, Lounge, Complete Gym",107434423,Blueground,Manhattan,Financial District,40.7056,-74.00878,Entire home/apt,357,31,1,2021-06-13,0.05,526,287,0,
45253125,Bright and spacious Brooklyn 1 bedroom apartment,120745552,Shaun-Marie,Brooklyn,Flatlands,40.62291,-73.92224,Entire home/apt,95,30,95,2023-01-29,3.14,1,245,26,
45421986,East Village Loft Space Duplex,86837447,Zoe,Manhattan,Lower East Side,40.72305,-73.99105,Entire home/apt,295,30,0,,,1,0,0,
45340880,Kai’s home,6467048,Gene,Queens,Woodhaven,40.68652,-73.85819,Private room,49,30,0,,,1,0,0,
45254502,"Style, Location, Comfort. Bonus Stoop/Front Yard!",5120972,Rachel And Bart,Brooklyn,Greenpoint,40.725231,-73.952904,Entire home/apt,324,3,48,2022-12-30,2.13,1,5,31,
45341673,"FiDi Studio w/ Gym, Lounge, Complete Gym",107434423,Blueground,Manhattan,Financial District,40.7056,-74.00878,Entire home/apt,236,31,0,,,526,231,0,
